TrumpWin,Income,HS,BA,Adv,Dem.Rep
1,43623,84.3,23.5,8.7,-17
1,72515,92.1,28,10.1,-17
1,50255,86,27.5,10.2,-1
1,41371,84.8,21.1,7.5,-7
0,61818,81.8,31.4,11.6,16
0,60629,90.7,38.1,14,-1
0,70331,89.9,37.6,16.6,11
0,60509,88.4,30,12.2,6
1,47507,86.9,27.3,9.8,1
1,49620,85.4,28.8,10.7,-4
0,69515,91,30.8,10.5,21
1,47583,89.5,25.9,8.2,-30
0,57574,87.9,32.3,12.4,11
1,49255,87.8,24.1,8.7,-6
1,53183,91.5,26.7,8.5,-3
1,52205,90.2,31,11,-13
1,43740,84.2,22.3,9.2,-3
1,45047,83.4,22.5,7.7,-2
0,49331,91.6,29,10.3,-4
0,74551,89.4,37.9,17.3,15
0,68563,89.8,40.5,17.7,19
1,49576,89.6,26.9,10.5,4
0,61492,92.4,33.7,11.2,1
1,39665,82.3,20.7,7.7,-5
1,48173,88.4,27.1,10.2,-8
1,47169,92.8,29.5,9.5,-14
1,52997,90.7,29.3,9.7,-9
0,51847,85.1,23,7.9,-4
0,66779,92.3,34.9,13,-9
0,72093,88.6,36.8,14,10
0,44963,84.2,26.3,11.5,12
0,59269,85.6,34.2,14.8,18
1,46868,85.8,28.4,9.9,0
1,57181,91.7,27.7,7.6,-21
1,49429,89.1,26.1,9.7,0
1,46879,86.9,24.1,8,-13
0,51243,89.8,30.8,11.5,6
1,53599,89.2,28.6,11.2,3
0,56852,86.2,31.9,12.8,19
1,45483,85.6,25.8,9.3,-13
1,50957,90.9,27,8,-16
1,45219,85.5,24.9,9,-10
1,53207,81.9,27.6,9.4,-6
1,60727,91.2,31.1,10.4,-30
0,55176,91.8,36,14.3,22
0,65015,88.3,36.3,15.4,-2
0,61062,90.4,32.9,12,9
1,41751,85,19.2,7.4,-6
1,53357,91,27.8,9.4,-1
1,58840,92.3,25.7,8.6,-32
